PERMNO,date,Year,TICKER,COMNAM,PRC,RET,sprtrn,annual_sprtrn,Rf
14593,4/30/2020,2020,AAPL,APPLE INC,293.79999,0.155374,0.126844038,0.1626,0.0089
14593,5/29/2020,2020,AAPL,APPLE INC,317.94,0.084956,0.04528182,0.1626,0.0089
14593,6/30/2020,2020,AAPL,APPLE INC,364.79999,0.147386,0.018388396,0.1626,0.0089
14593,7/31/2020,2020,AAPL,APPLE INC,425.04001,0.165132,0.055101321,0.1626,0.0089
14593,8/31/2020,2020,AAPL,APPLE INC,129.03999,0.216309,0.070064667,0.1626,0.0089
14593,9/30/2020,2020,AAPL,APPLE INC,115.81,-0.102526,-0.03922797,0.1626,0.0089
14593,10/30/2020,2020,AAPL,APPLE INC,108.86,-0.060012,-0.027665786,0.1626,0.0089
14593,11/30/2020,2020,AAPL,APPLE INC,119.05,0.09549,0.107545635,0.1626,0.0089
14593,12/31/2020,2020,AAPL,APPLE INC,132.69,0.114574,0.037121459,0.1626,0.0089
14593,1/29/2021,2021,AAPL,APPLE INC,131.96001,-0.005502,-0.011136661,0.2689,0.0145
14593,2/26/2021,2021,AAPL,APPLE INC,121.26,-0.079532,0.026091451,0.2689,0.0145
14593,3/31/2021,2021,AAPL,APPLE INC,122.15,0.00734,0.042438633,0.2689,0.0145
14593,4/30/2021,2021,AAPL,APPLE INC,131.46001,0.076218,0.052425321,0.2689,0.0145
14593,5/28/2021,2021,AAPL,APPLE INC,124.61,-0.050434,0.005486489,0.2689,0.0145
14593,6/30/2021,2021,AAPL,APPLE INC,136.96001,0.099109,0.02221401,0.2689,0.0145
14593,7/30/2021,2021,AAPL,APPLE INC,145.86,0.064982,0.022748055,0.2689,0.0145
14593,8/31/2021,2021,AAPL,APPLE INC,151.83,0.042438,0.028990416,0.2689,0.0145
14593,9/30/2021,2021,AAPL,APPLE INC,141.5,-0.068037,-0.047569169,0.2689,0.0145
14593,10/29/2021,2021,AAPL,APPLE INC,149.8,0.058657,0.069143836,0.2689,0.0145
14593,11/30/2021,2021,AAPL,APPLE INC,165.3,0.10494,-0.008333706,0.2689,0.0145
14593,12/31/2021,2021,AAPL,APPLE INC,177.57001,0.074229,0.043612914,0.2689,0.0145
14593,1/31/2022,2022,AAPL,APPLE INC,174.78,-0.015712,-0.052585165,-0.1944,0.0295
14593,2/28/2022,2022,AAPL,APPLE INC,165.12,-0.054011,-0.031360492,-0.1944,0.0295
14593,3/31/2022,2022,AAPL,APPLE INC,174.61,0.057473,0.035773288,-0.1944,0.0295
14593,4/29/2022,2022,AAPL,APPLE INC,157.64999,-0.097131,-0.087956712,-0.1944,0.0295
14593,5/31/2022,2022,AAPL,APPLE INC,148.84,-0.054424,5.31776E-05,-0.1944,0.0295
14593,6/30/2022,2022,AAPL,APPLE INC,136.72,-0.08143,-0.08392,-0.1944,0.0295
14593,7/29/2022,2022,AAPL,APPLE INC,162.50999,0.188634,0.091116392,-0.1944,0.0295
14593,8/31/2022,2022,AAPL,APPLE INC,157.22,-0.031137,-0.042440128,-0.1944,0.0295
14593,9/30/2022,2022,AAPL,APPLE INC,138.2,-0.120977,-0.093395672,-0.1944,0.0295
14593,10/31/2022,2022,AAPL,APPLE INC,153.34,0.109551,0.079863414,-0.1944,0.0295
14593,11/30/2022,2022,AAPL,APPLE INC,148.03,-0.033129,0.053752893,-0.1944,0.0295
14593,12/30/2022,2022,AAPL,APPLE INC,129.92999,-0.122273,-0.058971474,-0.1944,0.0295
84788,12/31/2002,2002,AMZN,AMAZON COM INC,18.89,-0.191006,-0.0603,-0.2337,0.0461
84788,1/31/2003,2003,AMZN,AMAZON COM INC,21.85,0.156697,-0.027414693,0.2638,0.0401
84788,2/28/2003,2003,AMZN,AMAZON COM INC,22.01,0.007323,-0.017003609,0.2638,0.0401
84788,3/31/2003,2003,AMZN,AMAZON COM INC,26.03,0.182644,0.008357569,0.2638,0.0401
84788,4/30/2003,2003,AMZN,AMAZON COM INC,28.69,0.10219,0.081044107,0.2638,0.0401
84788,5/30/2003,2003,AMZN,AMAZON COM INC,35.89,0.250958,0.05089871,0.2638,0.0401
84788,6/30/2003,2003,AMZN,AMAZON COM INC,36.32,0.011981,0.011322215,0.2638,0.0401
84788,7/31/2003,2003,AMZN,AMAZON COM INC,41.64,0.146476,0.016223702,0.2638,0.0401
84788,8/29/2003,2003,AMZN,AMAZON COM INC,46.32,0.112392,0.017873203,0.2638,0.0401
84788,9/30/2003,2003,AMZN,AMAZON COM INC,48.43,0.045553,-0.011944365,0.2638,0.0401
84788,10/31/2003,2003,AMZN,AMAZON COM INC,54.43,0.12389,0.054961486,0.2638,0.0401
84788,11/28/2003,2003,AMZN,AMAZON COM INC,53.97,-0.008451,0.007128504,0.2638,0.0401
84788,12/31/2003,2003,AMZN,AMAZON COM INC,52.62,-0.025014,0.050765541,0.2638,0.0401
84788,1/30/2004,2004,AMZN,AMAZON COM INC,50.4,-0.042189,0.017276387,0.0899,0.0427
84788,2/27/2004,2004,AMZN,AMAZON COM INC,43.01,-0.146627,0.012208973,0.0899,0.0427
84788,3/31/2004,2004,AMZN,AMAZON COM INC,43.28,0.006278,-0.016358919,0.0899,0.0427
84788,4/30/2004,2004,AMZN,AMAZON COM INC,43.6,0.007394,-0.016790752,0.0899,0.0427
84788,5/28/2004,2004,AMZN,AMAZON COM INC,48.5,0.112385,0.01208345,0.0899,0.0427
84788,6/30/2004,2004,AMZN,AMAZON COM INC,54.4,0.12165,0.017988999,0.0899,0.0427
84788,7/30/2004,2004,AMZN,AMAZON COM INC,38.92,-0.284559,-0.034290519,0.0899,0.0427
84788,8/31/2004,2004,AMZN,AMAZON COM INC,38.14,-0.020041,0.00228735,0.0899,0.0427
84788,9/30/2004,2004,AMZN,AMAZON COM INC,40.86,0.071316,0.009363876,0.0899,0.0427
84788,10/29/2004,2004,AMZN,AMAZON COM INC,34.13,-0.164709,0.014014244,0.0899,0.0427
